"Riffell Lab",7/19/2018
"Timezone",-7

"Serial No.","6700000048751741"
"Location:",""
"High temperature limit (°C)",30.1
"Low temperature limit (°C)",0.02
"High humidity limit (°C)",80
"Low humidity limit (°C)",40.1
43292.89237,26.9743,50.29
43292.89446,27.0993,50.26
43292.89654,27.0993,49.41
43292.89862,26.6619,50.02
43292.90071,26.4120,49.73
43292.90279,26.4745,49.38
43292.90487,26.5370,49.43
43292.90696,26.6619,49.48
43292.90904,26.5370,49.16
43292.91112,26.2245,49.55
43292.91321,26.8494,49.69
43292.91529,26.6619,49.79
43292.91737,26.7869,49.45
43292.91946,26.9118,48.54
43292.92154,27.0993,47.43
43292.92362,27.2867,46.66
43292.92571,27.6615,46.19
43292.92779,27.9113,45.95
43292.92987,28.0987,46.79
43292.93196,28.3485,46.03
43292.93404,28.5983,47.55
43292.93612,28.7232,48.15
43292.93821,28.8481,47.07
43292.94029,28.9730,46.69
43292.94237,29.0979,47.33
43292.94446,29.2228,46.33
43292.94654,29.1603,45.93
43292.94862,29.2228,45.93
43292.95071,29.0354,45.72
43292.95279,29.0354,45.36
43292.95487,29.0354,45.72
43292.95696,29.0979,45.61
43292.95904,29.1603,45.06
43292.96112,29.1603,44.43
43292.96321,29.2228,44.24
43292.96529,29.1603,44.43
43292.96737,29.2228,44.91
43292.96946,29.2852,44.52
43292.97154,29.3476,43.89
43292.97362,29.4725,44.11
43292.97571,29.4101,44.18
43292.97779,29.4101,43.98
43292.97987,29.2228,44.12
43292.98196,28.5983,43.45
43292.98404,26.5994,42.52
43292.98612,24.7246,44.32
43292.98821,26.0996,45.13
43292.99029,27.6615,44.70
43292.99237,28.4110,44.23
43292.99446,29.8471,43.99
43292.99654,30.2841,43.25
43292.99862,30.4089,44.02
43293.00071,30.4089,43.38
43293.00279,30.4089,43.18
43293.00487,30.4089,43.34
43293.00696,30.4089,43.46
43293.00904,30.4089,43.02
43293.01112,30.4714,43.07
43293.01321,30.7210,42.90
43293.01529,30.7210,43.06
43293.01737,30.6586,42.57
43293.01946,30.6586,42.61
43293.02154,30.3465,42.42
43293.02362,30.1592,42.91
43293.02571,30.2217,42.72
43293.02779,30.4089,42.66
43293.02987,30.3465,42.61
43293.03196,30.6586,42.93
43293.03404,30.7834,43.26
43293.03612,30.5962,44.51
43293.03821,31.4075,44.41
43293.04029,30.5338,45.18
43293.04237,29.8471,44.55
43293.04446,26.9743,46.40
43293.04654,25.5996,46.61
43293.04862,25.0371,46.51
43293.05071,25.5371,46.72
43293.05279,25.3496,46.90
43293.05487,25.1621,47.93
43293.05696,25.9746,47.23
43293.05904,25.9121,48.32
43293.06112,25.4746,47.53
43293.06321,26.4120,48.60
43293.06529,26.5370,46.94
43293.06737,26.5994,46.59
43293.06946,26.6619,46.25
43293.07154,25.2871,46.30
43293.07362,25.0371,46.04
43293.07571,25.9121,46.21
43293.07779,25.5996,46.02
43293.07987,24.7871,46.80
43293.08196,26.4120,45.83
43293.08404,25.4746,46.05
43293.08612,24.5370,46.58
43293.08821,24.2870,47.03
43293.09029,24.2245,47.61
43293.09237,23.4742,47.69
43293.09446,23.0990,48.94
43293.09654,22.9114,49.77
43293.09862,23.0990,50.33
43293.10071,23.5992,50.41
43293.10279,23.0364,51.17
43293.10487,23.2240,49.69
43293.10696,23.3491,50.97
43293.10904,23.7868,50.66
43293.11112,24.6621,50.09
43293.11321,25.2246,49.84
43293.11529,23.4742,50.06
43293.11737,25.8496,50.02
43293.11946,26.1621,48.58
43293.12154,23.8493,49.32
43293.12362,24.0994,50.08
43293.12571,24.1619,48.69
43293.12779,23.5367,49.29
43293.12987,22.4736,49.27
43293.13196,22.5361,50.24
43293.13404,22.2234,50.29
43293.13612,22.8488,50.69
43293.13821,24.7871,49.87
43293.14029,25.2871,49.03
43293.14237,28.0987,48.16
43293.14446,26.0996,47.21
43293.14654,24.6621,47.41
43293.14862,25.2246,47.74
43293.15071,27.5365,58.00
43293.15279,22.4110,48.45
43293.15487,19.7206,55.17
43293.15696,18.6564,58.69
43293.15904,18.1555,61.50
43293.16112,17.7798,63.93
43293.16321,18.1555,63.84
43293.16529,18.7190,61.94
43293.16737,18.9694,60.71
43293.16946,19.4702,60.00
43293.17154,19.7832,58.51
43293.17362,19.8458,58.10
43293.17571,19.6580,58.27
43293.17779,19.5328,58.60
43293.17987,19.2198,58.76
43293.18196,18.7816,60.33
43293.18404,18.4060,62.84
43293.18612,17.9677,62.04
43293.18821,17.7172,63.53
43293.19029,17.4667,64.35
43293.19237,17.4667,65.29
43293.19446,17.4041,65.54
43293.19654,17.3415,65.82
43293.19862,17.2162,65.35
43293.20071,17.0909,65.81
43293.20279,16.9657,66.13
43293.20487,16.8404,66.59
43293.20696,16.7151,66.91
43293.20904,16.5899,66.15
43293.21112,16.5899,68.01
43293.21321,16.5899,67.79
43293.21529,16.4019,67.61
43293.21737,16.4646,68.89
43293.21946,16.4646,69.07
43293.22154,16.5899,68.79
43293.22362,16.6525,67.97
43293.22571,16.8404,67.23
43293.22779,16.8404,66.16
43293.22987,16.9030,66.34
43293.23196,16.8404,66.55
43293.23404,16.9657,65.62
43293.23612,17.2788,66.39
43293.23821,17.9051,64.23
43293.24029,18.3434,62.07
43293.24237,18.5938,61.42
43293.24446,18.4686,61.45
43293.24654,18.5312,61.78
43293.24862,18.9068,61.44
43293.25071,19.0946,60.94
43293.25279,19.3450,60.33
43293.25487,19.4702,60.37
43293.25696,19.6580,59.20
43293.25904,19.7206,59.32
43293.26112,19.9083,59.37
43293.26321,20.1587,58.35
43293.26529,20.3464,57.84
43293.26737,20.8470,55.18
43293.26946,21.1599,54.25
43293.27154,21.4101,53.36
43293.27362,21.7229,52.44
43293.27571,21.9106,51.95
43293.27779,22.0983,50.74
43293.27987,22.2234,50.64
43293.28196,22.4110,50.77
43293.28404,22.5986,49.51
43293.28612,22.7237,49.14
43293.28821,22.8488,49.38
43293.29029,23.0364,48.86
43293.29237,23.1615,48.79
43293.29446,23.4742,48.00
43293.29654,23.5367,47.77
43293.29862,23.5992,47.12
43293.30071,23.8493,46.75
43293.30279,23.9744,46.17
43293.30487,24.0994,46.81
43293.30696,24.2245,45.73
43293.30904,24.3495,45.86
43293.31112,24.6621,45.30
43293.31321,24.8496,44.84
43293.31529,25.0996,43.56
43293.31737,25.4121,43.36
43293.31946,25.7871,43.12
43293.32154,26.0371,41.27
43293.32362,26.2870,41.57
43293.32571,26.2245,40.76
43293.32779,26.4745,40.27
43293.32987,26.9118,39.91
43293.33196,27.0368,39.44
43293.33404,27.0993,39.04
43293.33612,27.4741,38.36
43293.33821,27.7864,37.25
43293.34029,27.8489,38.19
43293.34237,28.1612,37.01
43293.34446,28.4110,35.85
43293.34654,28.8481,36.06
43293.34862,28.4110,36.34
43293.35071,28.5983,36.61
43293.35279,28.7857,35.73
43293.35487,28.9730,36.03
43293.35696,29.1603,34.82
43293.35904,29.0979,34.69
43293.36112,29.0354,34.73
43293.36321,29.3476,34.60
43293.36529,29.9095,33.50
43293.36737,30.1592,32.75
43293.36946,30.2841,33.38
43293.37154,29.8471,33.54
43293.37362,29.9095,32.76
43293.37571,30.0968,33.19
43293.37779,30.9707,32.38
43293.37987,31.2827,31.54
43293.38196,31.9067,30.06
43293.38404,31.9691,30.45
43293.38612,32.0315,29.70
43293.38821,31.5947,31.24
43293.39029,32.0315,30.37
43293.39237,32.5307,29.04
43293.39446,32.4059,29.07
43293.39654,32.5307,29.00
43293.39862,33.0921,29.02
43293.40071,32.4059,28.01
43293.40279,32.6554,28.93
43293.40487,32.8426,28.78
43293.40696,33.5911,29.03
43293.40904,33.9029,26.61
43293.41112,33.4664,26.81
43293.41321,33.2792,25.69
43293.41529,33.6535,25.60
43293.41737,33.9653,26.44
43293.41946,33.9653,25.59
43293.42154,34.1524,24.93
43293.42362,34.2771,25.07
43293.42571,34.8383,25.17
43293.42779,34.9630,24.63
43293.42987,34.7136,24.30
43293.43196,34.9630,24.16
43293.43404,35.1500,24.13
43293.43612,35.5241,24.30
43293.43821,35.6488,23.72
43293.44029,35.4618,24.00
43293.44237,36.0228,22.89
43293.44446,36.6460,21.96
43293.44654,36.7707,21.63
43293.44862,35.9604,22.80
43293.45071,36.3344,22.19
43293.45279,36.3344,21.75
43293.45487,37.2069,20.76
43293.45696,35.9604,21.71
43293.45904,36.4591,23.50
43293.46112,37.5808,24.66
43293.46321,38.3284,24.88
43293.46529,38.9513,23.43
43293.46737,39.4495,21.96
43293.46946,39.9477,20.35
43293.47154,40.3213,20.35
43293.47362,40.6326,20.20
43293.47571,40.6326,17.37
43293.47779,40.7571,16.89
43293.47987,40.9439,17.00
43293.48196,41.0062,16.38
43293.48404,41.0062,15.76
43293.48612,41.0684,15.81
43293.48821,39.7609,16.04
43293.49029,39.3250,17.95
43293.49237,40.2591,17.47
43293.49446,41.5041,17.55
43293.49654,42.8111,16.25
43293.49862,44.4908,15.96
43293.50071,46.0454,14.53
43293.50279,47.2265,14.41
43293.50487,47.7237,13.08
43293.50696,48.4072,13.32
43293.50904,48.8421,12.48
43293.51112,49.5876,12.59
43293.51321,50.5813,12.54
43293.51529,50.2087,12.69
43293.51737,48.4694,12.69
43293.51946,47.7237,13.31
43293.52154,47.2886,13.45
43293.52362,47.5372,13.66
43293.52571,47.7858,14.18
43293.52779,48.2830,14.18
43293.52987,48.9043,12.72
43293.53196,49.5876,13.75
43293.53404,49.7740,12.93
43293.53612,48.9664,12.17
43293.53821,48.5315,11.44
43293.54029,47.2886,14.09
43293.54237,47.1022,12.93
43293.54446,48.4072,11.52
43293.54654,49.1528,10.98
43293.54862,48.4072,11.62
43293.55071,46.4806,11.55
43293.55279,47.2886,12.08
43293.55487,48.3451,11.29
43293.55696,48.9043,11.05
43293.55904,50.7055,10.87
43293.56112,52.8163,10.33
43293.56321,54.6158,10.36
43293.56529,56.1044,9.27
43293.56737,57.7784,9.48
43293.56946,59.0798,10.43
43293.57154,60.2570,9.05
43293.57362,61.2480,8.32
43293.57571,62.2388,9.75
43293.57779,63.2293,7.92
43293.57987,64.0958,8.06
43293.58196,64.9621,7.55
43293.58404,65.8282,9.10
43293.58612,66.6323,9.24
43293.58821,67.3743,7.96
43293.59029,68.1162,7.83
43293.59237,68.7344,8.32
43293.59446,69.2907,7.83
43293.59654,69.6615,8.10
43293.59862,70.1558,7.34
43293.60071,70.6501,7.30
43293.60279,71.1443,7.27
43293.60487,71.5149,8.32
43293.60696,71.8855,7.29
43293.60904,72.3795,7.88
43293.61112,72.9970,7.79
43293.61321,73.5527,6.65
43293.61529,73.9848,8.19
43293.61737,74.3551,7.78
43293.61946,74.6637,6.29
43293.62154,75.0340,7.53
43293.62362,75.3425,5.82
43293.62571,75.6510,6.74
43293.62779,75.8978,6.15
43293.62987,76.1446,7.23
43293.63196,76.3914,6.86
43293.63404,76.6381,6.05
43293.63612,76.8232,7.08
43293.63821,77.0082,5.78
43293.64029,77.1316,6.54
43293.64237,77.1316,7.47
43293.64446,77.0699,5.83
43293.64654,76.9465,6.76
43293.64862,76.5148,7.51
43293.65071,75.9595,6.15
43293.65279,74.8489,7.74
43293.65487,73.1205,8.75
43293.65696,71.1443,8.26
43293.65904,69.5379,9.02
43293.66112,68.3635,8.56
43293.66321,67.4980,9.99
43293.66529,66.7559,9.85
43293.66737,66.1993,10.67
43293.66946,65.7663,11.05
43293.67154,65.3952,10.48
43293.67362,65.0240,11.50
43293.67571,64.7146,11.53
43293.67779,64.4671,11.71
43293.67987,64.2196,11.79
43293.68196,64.0339,11.29
43293.68404,63.7864,10.53
43293.68612,63.6626,11.11
43293.68821,63.4769,11.64
43293.69029,63.2912,10.94
43293.69237,63.1055,11.91
43293.69446,62.9198,12.24
43293.69654,62.7341,12.24
43293.69862,62.6103,12.03
43293.70071,62.4864,12.95
43293.70279,62.3007,11.13
43293.70487,62.1769,11.31
43293.70696,61.9911,12.67
43293.70904,61.8673,11.97
43293.71112,61.6815,12.01
43293.71321,61.4957,12.73
43293.71529,61.3100,13.10
43293.71737,61.1242,12.70
43293.71946,61.0003,13.03
43293.72154,60.8145,11.46
43293.72362,60.6287,12.47
43293.72571,60.4428,12.79
43293.72779,60.2570,13.02
43293.72987,60.1331,12.72
43293.73196,59.9473,14.01
43293.73404,59.7614,12.55
43293.73612,59.5755,12.58
43293.73821,59.3897,13.77
43293.74029,59.2038,13.08
43293.74237,59.0179,13.26
43293.74446,58.8940,14.06
43293.74654,58.7700,13.81
43293.74862,58.6461,13.28
43293.75071,58.5221,13.56
43293.75279,58.3362,14.97
43293.75487,58.2122,14.39
43293.75696,58.0263,14.56
43293.75904,57.9023,14.41
43293.76112,57.7164,14.87
43293.76321,57.5304,14.43
43293.76529,57.2824,13.03
43293.76737,57.0965,14.06
43293.76946,56.8485,14.98
43293.77154,56.6005,14.30
43293.77362,56.4144,14.80
43293.77571,56.1664,13.84
43293.77779,55.9804,15.61
43293.77987,55.7323,15.31
43293.78196,55.4222,13.59
43293.78404,52.5681,10.78
43293.78612,48.5936,10.94
43293.78821,48.0344,11.95
43293.79029,46.2941,12.91
43293.79237,45.4858,13.02
43293.79446,45.2370,14.31
43293.79654,44.9883,14.11
43293.79862,44.6151,13.85
43293.80071,44.2420,14.95
43293.80279,43.7443,15.67
43293.80487,43.2466,15.39
43293.80696,42.7488,16.24
43293.80904,42.2510,16.73
43293.81112,41.8154,16.11
43293.81321,41.3797,17.27
43293.81529,40.8194,17.70
43293.81737,40.2591,15.64
43293.81946,39.5741,16.29
43293.82154,38.8890,15.19
43293.82362,38.3284,15.32
43293.82571,37.7054,16.94
43293.82779,37.4562,16.34
43293.82987,37.1446,15.95
43293.83196,36.7707,15.34
43293.83404,36.2721,17.28
43293.83612,35.9604,17.03
43293.83821,35.5864,17.12
43293.84029,35.5241,18.26
43293.84237,35.7111,20.34
43293.84446,35.7111,22.68
43293.84654,35.7111,23.46
43293.84862,35.6488,23.72
43293.85071,35.5864,24.66
43293.85279,35.3994,24.68
43293.85487,35.2747,24.96
43293.85696,35.0253,24.77
43293.85904,34.7136,26.40
43293.86112,34.2771,25.15
43293.86321,34.0900,27.52
43293.86529,33.7782,25.57
43293.86737,33.5287,27.16
43293.86946,33.2169,25.89
43293.87154,32.9050,26.50
43293.87362,32.6554,25.96
43293.87571,32.4059,26.91
43293.87779,32.0939,26.53
43293.87987,31.9067,27.24
43293.88196,31.5947,27.41
43293.88404,31.4075,28.62
43293.88612,31.2203,28.68
43293.88821,31.0331,28.83
43293.89029,30.9083,29.99
43293.89237,30.7210,28.25
43293.89446,30.5962,28.11
43293.89654,30.4089,29.48
43293.89862,30.2841,29.38
43293.90071,30.1592,29.78
43293.90279,30.0344,30.02
43293.90487,29.9720,29.89
43293.90696,29.8471,28.61
43293.90904,29.7847,29.66
43293.91112,29.6598,29.52
43293.91321,29.6598,29.06
43293.91529,29.5974,29.47
43293.91737,29.4101,29.24
43293.91946,29.4101,28.74
43293.92154,29.4101,29.03
43293.92362,29.4101,28.02
43293.92571,29.3476,27.89
43293.92779,29.3476,27.59
43293.92987,29.1603,29.21
43293.93196,27.8489,29.62
43293.93404,27.7864,29.44
43293.93612,27.6615,30.27
43293.93821,27.2242,30.80
43293.94029,26.4120,34.40
43293.94237,25.6621,37.35
43293.94446,25.1621,37.67
43293.94654,25.0371,37.86
43293.94862,25.0996,37.17
43293.95071,25.0996,35.95
43293.95279,24.9121,37.24
43293.95487,24.7871,37.67
43293.95696,24.5995,37.94
43293.95904,24.6621,37.82
43293.96112,24.7246,37.18
43293.96321,24.5995,36.63
43293.96529,24.7246,36.69
43293.96737,24.3495,37.59
43293.96946,24.0369,39.46
43293.97154,23.8493,38.27
43293.97362,23.9744,38.27
43293.97571,24.0994,36.83
43293.97779,23.9744,36.86
43293.97987,24.2245,37.13
43293.98196,24.2870,36.52
43293.98404,24.4120,35.84
43293.98612,24.0994,37.03
43293.98821,23.7243,36.06
43293.99029,23.5367,37.83
43293.99237,23.1615,38.52
43293.99446,22.7863,39.13
43293.99654,22.5361,39.59
43293.99862,23.1615,39.53
43294.00071,23.1615,40.54
43294.00279,22.9739,39.55
43294.00487,23.2866,38.21
43294.00696,23.5367,39.08
43294.00904,23.3491,38.46
43294.01112,24.4120,33.25
43294.01321,24.9746,33.10
43294.01529,24.8496,32.47
43294.01737,24.5995,33.68
43294.01946,24.9746,33.27
43294.02154,25.1621,31.09
43294.02362,24.9121,32.97
43294.02571,24.8496,32.84
43294.02779,24.7871,34.65
43294.02987,24.5995,33.31
43294.03196,24.9121,31.93
43294.03404,24.6621,32.90
43294.03612,24.8496,32.22
43294.03821,24.4745,32.14
43294.04029,23.9744,34.11
43294.04237,23.6618,34.90
43294.04446,23.6618,34.49
43294.04654,23.9119,34.64
43294.04862,23.9744,33.62
43294.05071,23.9119,34.23
43294.05279,23.9119,33.86
43294.05487,24.2245,33.23
43294.05696,24.2870,32.70
43294.05904,24.2870,32.99
43294.06112,24.3495,32.62
43294.06321,24.4745,31.76
43294.06529,24.4120,31.55
43294.06737,24.2870,32.70
43294.06946,23.9119,33.07
43294.07154,23.8493,33.44
43294.07362,23.0990,36.57
43294.07571,22.9114,38.13
43294.07779,23.0990,37.58
43294.07987,24.0994,33.18
43294.08196,25.0996,29.74
43294.08404,25.5371,29.58
43294.08612,25.5371,29.71
43294.08821,25.4121,28.64
43294.09029,25.2246,29.34
43294.09237,25.0996,29.28
43294.09446,24.8496,29.84
43294.09654,24.6621,30.49
43294.09862,24.2245,30.95
43294.10071,24.4120,30.22
43294.10279,24.3495,31.04
43294.10487,24.4120,30.30
43294.10696,24.2245,31.66
43294.10904,24.2245,30.70
43294.11112,24.0369,30.05
43294.11321,23.9744,31.55
43294.11529,24.1619,30.52
43294.11737,24.0369,29.89
43294.11946,24.0994,30.56
43294.12154,23.9744,30.25
43294.12362,23.6618,30.56
43294.12571,23.5367,32.21
43294.12779,23.8493,31.03
43294.12987,24.2245,30.32
43294.13196,24.0369,30.97
43294.13404,23.7243,32.48
43294.13612,22.9739,35.65
43294.13821,22.4736,37.40
43294.14029,22.6612,35.17
43294.14237,22.5361,33.89
43294.14446,22.2234,35.25
43294.14654,21.6604,36.96
43294.14862,21.1599,39.54
43294.15071,20.7219,41.07
43294.15279,20.2838,42.55
43294.15487,20.2838,42.87
43294.15696,20.6593,40.55
43294.15904,21.0347,39.05
43294.16112,21.2850,37.78
43294.16321,21.2850,38.06
43294.16529,21.5353,36.70
43294.16737,21.7855,36.68
43294.16946,21.3476,40.37
43294.17154,20.8470,42.80
43294.17362,20.7219,43.11
43294.17571,20.3464,47.10
43294.17779,20.2838,46.82
43294.17987,19.9709,46.01
43294.18196,19.5954,46.96
43294.18404,19.4702,46.56
43294.18612,19.5954,46.69
43294.18821,19.4702,44.87
43294.19029,19.2198,50.62
43294.19237,18.9068,53.55
43294.19446,18.7816,49.04
43294.19654,20.0961,46.10
43294.19862,20.4716,44.87
43294.20071,20.4090,44.35
43294.20279,20.2213,43.90
43294.20487,19.9083,46.71
43294.20696,19.3450,51.10
43294.20904,18.9068,49.79
43294.21112,18.9068,47.73
43294.21321,18.8442,50.48
43294.21529,18.5312,51.46
43294.21737,18.2181,50.47
43294.21946,18.7190,49.54
43294.22154,18.3434,52.44
43294.22362,18.2181,50.59
43294.22571,17.9677,51.65
43294.22779,17.9051,52.03
43294.22987,17.8424,51.41
43294.23196,18.2181,50.40
43294.23404,18.1555,49.42
43294.23612,17.8424,50.52
43294.23821,17.8424,51.91
43294.24029,17.7798,51.41
43294.24237,17.7172,51.41
43294.24446,17.7798,53.51
43294.24654,18.0929,54.67
43294.24862,18.2808,54.57
43294.25071,18.2181,55.02
43294.25279,18.2181,57.81
43294.25487,18.2181,61.73
43294.25696,18.4060,59.53
43294.25904,18.5938,58.43
43294.26112,18.9694,57.18
43294.26321,19.2198,57.24
43294.26529,19.6580,55.27
43294.26737,20.2213,50.97
43294.26946,20.7845,49.51
43294.27154,21.2224,49.63
43294.27362,21.7229,48.39
43294.27571,22.1608,48.04
43294.27779,22.4736,47.56
43294.27987,22.6612,48.90
43294.28196,23.3491,45.92
43294.28404,23.8493,42.25
43294.28612,23.8493,42.25
43294.28821,23.8493,43.08
43294.29029,24.0994,42.79
43294.29237,24.4120,40.74
43294.29446,24.7871,37.67
43294.29654,25.1621,36.90
43294.29862,25.1621,37.30
43294.30071,25.4746,36.40
43294.30279,25.5371,35.87
43294.30487,26.0371,34.78
43294.30696,26.5994,32.90
43294.30904,26.9743,31.78
43294.31112,27.3491,31.07
43294.31321,27.4116,30.95
43294.31529,27.3491,31.48
43294.31737,27.4741,31.58
43294.31946,27.2867,30.89
43294.32154,27.4116,30.53
43294.32362,27.4116,30.99
43294.32571,27.8489,30.12
43294.32779,27.9738,29.97
43294.32987,27.9738,29.63
43294.33196,28.5983,28.98
43294.33404,29.1603,27.82
43294.33612,29.2852,26.82
43294.33821,30.0968,26.36
43294.34029,30.0968,25.55
43294.34237,30.6586,25.53
43294.34446,30.6586,24.84
43294.34654,30.7834,24.77
43294.34862,31.2827,24.23
43294.35071,30.3465,25.36
43294.35279,29.9720,25.28
43294.35487,29.6598,26.14
43294.35696,29.6598,27.12
43294.35904,29.9720,26.43
43294.36112,30.0344,25.84
43294.36321,30.5338,24.96
43294.36529,29.9720,25.75
43294.36737,30.2217,25.75
43294.36946,30.4089,26.14
43294.37154,30.5962,25.69
43294.37362,30.7834,25.62
43294.37571,30.9083,25.38
43294.37779,31.1579,24.68
43294.37987,31.7195,24.19
43294.38196,31.5947,24.90
43294.38404,31.5323,25.79
43294.38612,32.2187,23.47
43294.38821,32.2187,23.51
43294.39029,31.4699,24.33
43294.39237,31.2203,25.93
43294.39446,31.9067,25.02
43294.39654,33.0297,23.26
43294.39862,33.1545,24.17
43294.40071,34.1524,22.04
43294.40279,33.7782,22.09
43294.40487,34.5265,21.43
43294.40696,35.2124,21.42
43294.40904,35.2747,21.12
43294.41112,35.3994,21.09
43294.41321,34.5265,21.56
43294.41529,35.5241,20.54
43294.41737,36.2098,19.95
43294.41946,36.0851,19.46
43294.42154,36.7707,19.44
43294.42362,37.4562,17.27
43294.42571,37.2692,17.60
43294.42779,36.7084,17.24
43294.42987,36.6460,17.32
43294.43196,36.7707,16.18
43294.43404,36.7707,17.60
43294.43612,36.4591,16.99
43294.43821,36.8330,16.06
43294.44029,37.5185,16.57
43294.44237,36.2721,16.88
43294.44446,36.1474,16.38
43294.44654,35.5864,16.95
43294.44862,36.6460,15.55
43294.45071,37.4562,15.05
43294.45279,37.2069,16.98
43294.45487,35.9604,15.88
43294.45696,36.8330,15.26
43294.45904,37.6431,13.95
43294.46112,36.8330,14.28
43294.46321,37.7054,12.35
43294.46529,38.9513,12.69
43294.46737,38.7021,13.70
43294.46946,38.7021,13.47
43294.47154,38.6398,12.30
43294.47362,38.6398,12.30
43294.47571,39.2627,12.67
43294.47779,40.1968,11.50
43294.47987,39.8232,11.24
43294.48196,40.0100,11.71
43294.48404,40.5081,11.39
43294.48612,40.0100,10.94
43294.48821,40.5704,10.49
43294.49029,41.1929,9.95
43294.49237,41.1929,10.68
43294.49446,40.3836,10.83
43294.49654,39.2627,11.28
43294.49862,40.0723,10.26
43294.50071,41.1307,10.26
43294.50279,40.1345,10.99
43294.50487,40.3836,11.11
43294.50696,41.1307,10.04
43294.50904,40.0723,10.03
43294.51112,40.3836,10.92
43294.51321,40.5704,10.67
43294.51529,40.6326,9.67
43294.51737,39.1381,18.15
43294.51946,39.3873,15.29
43294.52154,40.1968,13.71
43294.52362,41.6286,13.39
43294.52571,43.6821,12.04
43294.52779,45.2992,11.95
43294.52987,46.6049,10.78
43294.53196,47.4751,9.69
43294.53404,47.9723,8.85
43294.53612,48.5936,10.33
43294.53821,49.2770,9.36
43294.54029,50.1466,7.83
43294.54237,51.1402,10.16
43294.54446,51.3265,9.56
43294.54654,51.6369,10.01
43294.54862,52.5681,10.50
43294.55071,53.5610,8.54
43294.55279,54.4297,7.54
43294.55487,54.8639,8.10
43294.55696,55.4222,7.03
43294.55904,55.1121,7.58
43294.56112,54.2436,9.10
43294.56321,54.6158,7.46
43294.56529,54.8019,7.71
43294.56737,54.8639,8.91
43294.56946,52.0094,7.01
43294.57154,49.9603,9.79
43294.57362,48.7800,9.88
43294.57571,47.9723,11.26
43294.57779,47.3508,11.39
43294.57987,46.6049,15.12
43294.58196,44.9883,14.61
43294.58404,42.4999,13.92
43294.58612,40.8816,14.54
43294.58821,39.3873,14.66
43294.59029,37.7677,14.86
43294.59237,36.8953,18.75
43294.59446,36.1474,16.25
43294.59654,35.2747,17.22
43294.59862,35.7734,19.38
43294.60071,36.5214,16.16
43294.60279,35.2124,17.39
43294.60487,34.2771,18.66
43294.60696,33.8406,18.74
43294.60904,33.5287,19.45
43294.61112,33.4040,19.66
43294.61321,32.8426,21.12
43294.61529,31.6571,20.43
43294.61737,31.0955,20.02
43294.61946,31.0955,21.67
43294.62154,30.7834,21.07
43294.62362,31.2827,21.60
43294.62571,32.0315,21.25
43294.62779,32.7178,21.71
43294.62987,33.3416,22.26
43294.63196,33.9029,21.71
43294.63404,34.4018,22.37
43294.63612,34.6512,21.66
43294.63821,34.4642,22.77
43294.64029,34.2147,20.53
43294.64237,34.0277,21.07
43294.64446,33.6535,20.95
43294.64654,33.3416,20.70
43294.64862,32.7802,20.81
43294.65071,32.4683,19.95
43294.65279,32.1563,21.09
43294.65487,31.7819,20.36
43294.65696,31.5323,20.29
43294.65904,31.4699,21.36
43294.66112,30.9707,21.22
43294.66321,30.6586,21.97
43294.66529,30.5338,21.97
